year,state,state_abb,division,region,total_pop,male_pop,female_pop,med_age,predominant_education,bachelor_degree,med_income,unemployed,below_poverty,food_stamps,gini_index,health_insurance,no_health_insurance,employer_health_insurance,medicare,medicaid,housing_units,med_home_value,med_gross_rent,med_year_built,household_size,occupied_housing,renter_occupied,owner_occupied,mortgaged_housing,predominant_heat,gas_heat,electric_heat,no_heat
2006,Arizona,AZ,Mountain,West,6166318,3085331,3080987,34.6,some college or associate's degree,1006689,47265,NA,857349,151366,0.454,NA,NA,NA,NA,NA,2605095,236500,762,1986,2.771,0.8540924611194601,0.31548472983273645,0.6845152701672635,0.4161744581291661,electricity,0.37204493319526544,0.5571867224691145,0.008994189642030173
2006,Arkansas,AR,West South Central,South,2810872,1377539,1433333,37.1,high school graduate (includes equivalency),336623,36599,NA,471155,131564,0.46,NA,NA,NA,NA,NA,1273433,93900,566,1978,2.547,0.8664986693449911,0.3172078286938522,0.6827921713061478,0.344751549551488,utility gas,0.4553672736236528,0.3877715628024665,0.0017554385061825512
2006,California,CA,Pacific,West,36457549,18225275,18232274,34.4,bachelor's degree or higher,6706298,56645,NA,4690140,525699,0.466,NA,NA,NA,NA,NA,13174781,535700,1029,1972,3,0.9223096004404172,0.4155160626988534,0.5844839373011467,0.4122632474877571,utility gas,0.68617992240619,0.2241664154574678,0.02812053465876327
2006,Colorado,CO,Mountain,West,4753377,2393355,2360022,35.4,bachelor's degree or higher,1071180,52015,NA,556153,92037,0.45,NA,NA,NA,NA,NA,2095235,232900,780,1979,2.574,0.8815183022429465,0.3127074999945858,0.6872925000054142,0.4679876004362279,utility gas,0.7606291973743197,0.15328253350860968,0.0025679647079461265
2006,Connecticut,CT,New England,Northeast,3504809,1705842,1798967,39.1,bachelor's degree or higher,797411,63422,NA,280108,74615,0.48,NA,NA,NA,NA,NA,1432250,298900,886,1962,2.644,0.9254271251527317,0.30484977475455377,0.6951502252454462,0.4646053412462908,"fuel oil, kerosene, etc.",0.3004851962702281,0.14907921351578302,0.0015806036170548262
2006,Delaware,DE,South Atlantic,South,853476,413560,439916,37.5,high school graduate (includes equivalency),152828,52833,NA,91962,22010,0.434,NA,NA,NA,NA,NA,382866,227100,830,1977,2.666,0.8360888666008472,0.2558995345350036,0.7441004654649964,0.414502724190709,utility gas,0.3743057074130768,0.27725156977289056,0.0013276686139139671
2006,Florida,FL,South Atlantic,South,18089889,8878166,9211723,39.8,high school graduate (includes equivalency),3154450,45495,NA,2226587,528223,0.467,NA,NA,NA,NA,NA,8531860,230600,872,1983,2.546,0.8328830993476217,0.29720356282723914,0.7027964371727609,0.38481304193927235,electricity,0.049492811891626874,0.9085869461508953,0.015987662330169173
2006,Georgia,GA,South Atlantic,South,9363941,4613727,4750214,34.6,high school graduate (includes equivalency),1586625,46832,NA,1333524,272688,0.461,NA,NA,NA,NA,NA,3873405,156800,738,1984,2.773,0.8717815462106338,0.3232634330570431,0.6767365669429569,0.4277205714352101,utility gas,0.46363780934581433,0.44130310596272226,0.0023404070703214883
2006,Hawaii,HI,Pacific,West,1285498,643073,642425,37.2,some college or associate's degree,256083,61160,NA,116147,28383,0.438,NA,NA,NA,NA,NA,500021,529700,1116,1975,2.971,0.8652276604382616,0.40457710016827236,0.5954228998317277,0.3534131566474208,no fuel used,0.024297786571497254,0.365049279757392,0.5748973723626546
2006,Idaho,ID,Mountain,West,1466465,735971,730494,34.3,some college or associate's degree,214376,42865,NA,180177,33287,0.421,NA,NA,NA,NA,NA,615703,163900,623,1979,2.673,0.8909409244392182,0.2872510504871891,0.712748949512811,0.44574900560822345,utility gas,0.5076938502064515,0.3088550828996181,0.0019688089617267185
