year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2011,Vermont,33304,3344,4361,5876,1252,1998,1608,3380,6869,1439,3177
2011,Virginia,331685,35540,28520,63422,13441,20176,14590,29962,67254,15378,43402
2011,Washington,341707,31673,37123,69972,12576,18910,16473,27371,78338,14024,35247
2011,West Virginia,131964,9396,11802,31983,5804,7444,5265,10394,28106,7202,14568
2011,Wisconsin,237139,29713,25852,45466,8991,14748,14646,19631,47497,8261,22334
2011,Wyoming,20682,1826,2175,4183,789,1285,931,2877,4741,398,1477
2012,Alabama,301318,23462,28392,61560,15001,17617,13295,23193,69370,14410,35018
2012,Alaska,28590,2486,3092,5073,989,1664,1034,3694,6273,1804,2481
2012,Arizona,273690,26742,28188,53371,11591,21424,13110,18151,57571,13143,30399
2012,Arkansas,175352,17968,17323,35268,8654,11467,9887,11875,34617,10294,17999
2012,California,1477098,128695,140485,285629,61763,122618,57120,98672,283082,81824,217210
2012,Colorado,180835,18117,17671,36220,6504,12379,9420,14966,38721,7476,19361
2012,Connecticut,142861,14872,13978,30443,5357,8611,6969,10738,27473,5889,18531
2012,Delaware,35837,3707,2960,7558,1240,2401,1618,2622,7731,1492,4508
2012,Florida,919971,75280,79103,173662,45186,75907,42819,60218,179654,49764,138378
2012,Georgia,460871,49318,43610,94395,19960,26684,19969,35918,91822,23586,55609
2012,Hawaii,55160,3611,4392,10653,3485,5626,1906,3514,9570,2686,9717
2012,Idaho,75086,9371,9182,15012,2739,3381,4391,6593,14499,2936,6982
2012,Illinois,483614,47581,49573,93211,19068,29418,25229,35505,95124,24137,64768
2012,Indiana,314100,37778,29927,64908,11567,17708,18094,26294,65653,12714,29457
2012,Iowa,123837,13199,14388,23651,4112,7260,8707,11582,23921,4361,12656
2012,Kansas,125295,13555,14707,24345,4036,7220,6797,11765,24915,5019,12936
2012,Kentucky,293243,30189,29733,61168,12808,13387,15530,23838,66681,14917,24992
2012,Louisiana,268700,30685,24639,51820,12711,13979,15112,22240,55247,13252,29015
2012,Maine,86210,9976,8193,19492,3751,4092,5422,7577,18132,2331,7244
2012,Maryland,226917,24163,24016,40553,7425,15435,14431,17347,44975,10754,27818
2012,Massachusetts,308553,34147,32267,59860,11522,19946,15848,25853,60659,14053,34398
