year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2011,North Dakota,69573,7721,9074,2166,2495,1906,1788,1214,2154,1763,8466,9449,4773,4721,2441,2338,1645,2563,2896
2011,Ohio,1906513,188002,296316,55175,65231,61941,59803,44670,33196,28646,178725,286753,105969,154894,100674,77527,60452,52020,56519
2011,Oklahoma,631551,79027,115506,15820,16314,12271,15678,12282,13345,9847,77964,109122,27976,31372,20918,18602,18510,18940,18057
2011,Oregon,644578,69642,100877,21465,23321,19605,22234,21398,13983,11716,58364,97741,27730,36029,26219,29845,23609,18077,22723
2011,Pennsylvania,2131838,176724,320690,75233,65012,67602,87563,70779,46864,44161,160671,298567,117460,133789,102831,114723,90724,71437,87008
2011,Rhode Island,180758,14035,24432,5907,5705,5486,7322,5876,5278,4505,14593,21883,7602,12225,10477,10875,8378,8174,8005
2011,South Carolina,805018,90253,127245,22656,20799,19850,23018,24207,18713,13351,88289,123834,41058,43175,29265,29837,31875,28589,29004
2011,South Dakota,111222,14042,19182,2994,2935,1991,3175,2570,2799,2671,13684,17094,5294,6540,3290,2567,2783,3399,4212
2011,Tennessee,1211331,116720,189846,39613,34540,34831,39021,35812,26984,17483,112036,180708,67779,78893,64517,47989,42744,41322,40493
2011,Texas,4354398,587969,826023,98421,80764,81761,97038,96631,86468,67949,556784,785831,162477,167211,130023,129923,131975,130936,136214
2011,Utah,319401,40553,48333,7924,11860,9671,9373,7758,4698,5819,38721,50290,12957,21574,14773,10854,8375,8325,7543
2011,Vermont,151532,11413,18600,5630,8227,8377,7599,6307,2519,2353,10091,17671,6779,12261,9505,8222,6528,4095,5355
2011,Virginia,857515,94183,145949,21393,18440,17904,27658,21320,22307,16721,90510,131334,40522,47274,34654,28080,29444,31866,37956
2011,Washington,1073710,116809,176129,30043,29537,31727,35390,31005,23262,21981,103955,173951,45335,57677,45724,39753,39016,32696,39720
2011,West Virginia,360577,32206,54578,8708,10550,15223,16785,16048,7288,5943,29530,52963,14351,18885,17238,16830,18555,12655,12241
2011,Wisconsin,1033384,87883,150786,28876,44026,42549,42221,31084,21771,20351,81706,137239,48938,84521,63998,50482,34501,27271,35181
2011,Wyoming,64256,8524,11220,1848,1277,1193,1635,1871,1880,1105,6156,11348,2896,3385,2020,1635,1912,1817,2534
2012,Alabama,923834,97072,153593,27595,18623,20415,27531,33627,22595,14968,96277,148320,39879,43339,30354,37481,39780,36050,36335
2012,Alaska,113530,11585,20733,3001,3296,4048,3131,4095,2406,2065,10884,18562,5183,6281,4467,4227,3526,3099,2941
2012,Arizona,1253907,120908,189683,44637,49447,41781,43629,36553,25348,21021,113037,182535,63710,83831,67020,52989,47809,36163,33806
