year,state,total,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2014,Michigan,744666,6474,17205,160460,56549,68113,4509,18998,198223,80164,133971
2014,Minnesota,260161,2872,7893,47542,21815,30414,2081,6938,57079,25245,58282
2014,Mississippi,284096,2168,7364,58977,26155,23200,2318,6205,79210,31272,47227
2014,Missouri,459320,4162,10992,102831,37144,42206,3250,13043,120288,48774,76630
2014,Montana,66395,814,1893,12192,7149,6715,472,1966,16948,5756,12490
2014,Nebraska,101356,1370,2955,16897,8843,12319,1077,2121,26342,10992,18440
2014,Nevada,201707,1493,4659,40217,21161,18415,1457,5875,51746,26192,30492
2014,New Hampshire,75897,894,1264,13462,7836,8817,317,1450,18795,7622,15440
2014,New Jersey,496649,4593,9816,82631,38487,58429,3561,9072,105447,62809,121804
2014,New Mexico,160302,1322,4996,30562,14340,17145,629,4560,39516,18338,28894
2014,New York,1237290,10795,29573,209891,93446,133236,10403,30588,290324,147077,281957
