year,state,total,male 5 and under,male 6 to 18,male 19 to 25,male 26 to 34,male 35 to 44,male 45 to 54,male 55 to 64,male 65 to 74,male 75 and older,female 5 and under,female 6 to 18,female 19 to 25,female 26 to 34,female 35 to 44,female 45 to 54,female 55 to 64,female 65 to 74,female 75 and older
2012,Connecticut,557207,236,1320,806,2333,4079,8495,16815,119934,89247,580,1022,994,2717,3553,10144,17842,138254,138836
2012,Delaware,158412,36,722,124,664,1815,3003,6309,36003,23467,256,350,160,433,973,3613,6108,41462,32914
2012,Florida,3792667,6087,8916,6015,17383,24687,56405,112446,830909,652811,4887,8665,5815,19230,26386,60545,121422,954386,875672
2012,Georgia,1325762,3355,4743,4973,7161,13697,30469,59604,299248,164378,2290,4049,4580,7468,14316,31811,64783,347494,261343
2012,Hawaii,214586,178,195,391,946,765,2691,4665,48737,36886,325,585,375,425,924,2820,5487,53362,54829
2012,Idaho,241815,622,600,1244,1315,1887,5027,10271,57330,36748,157,445,704,1738,2157,5183,9114,59640,47633
2012,Illinois,1813880,2034,5145,2756,8770,14797,30926,57241,396099,277416,2667,4596,2473,7863,17608,32256,61260,460640,429333
2012,Indiana,1007393,2228,3142,2428,5150,11206,21776,41089,219306,144057,902,1851,2432,4828,10150,23729,41620,251022,220477
2012,Iowa,504709,591,1177,1189,2269,3805,8306,14972,108450,83222,837,971,1167,2478,5002,9220,15000,121204,124849
2012,Kansas,433408,1617,2580,887,1716,3859,7563,13101,92847,69355,1930,3105,708,2200,2998,8629,16381,103116,100816
2012,Kentucky,750673,1167,2750,2071,4213,10760,25288,43010,158560,94533,541,2489,1191,5120,10670,22468,38711,182588,144543
2012,Louisiana,693125,971,1976,2876,4064,7564,19615,35337,146380,92456,1200,2745,2130,4030,9004,14767,33730,171454,142826
2012,Maine,262009,295,492,637,2125,2773,6266,10875,57082,39229,228,372,428,2625,3166,7678,10571,61414,55753
2012,Maryland,809350,1671,2276,1878,4448,6850,14357,20683,178083,120233,1531,1634,2340,4516,5876,15571,27651,213787,185965
2012,Massachusetts,1024696,1133,1842,2138,7348,8972,19004,30662,211899,159583,889,1736,2199,6812,10743,20366,35230,252188,251952
2012,Michigan,1683264,1498,3837,4555,11547,21809,42692,71495,359653,246045,1817,3300,3532,9001,20223,39298,70549,406665,365748
2012,Minnesota,787735,200,1869,991,4009,6811,12582,24566,175657,126293,416,1294,1666,4701,6370,15405,24995,195505,184405
2012,Mississippi,505639,1139,1636,1771,4219,8076,15329,29257,101324,59348,1314,3027,2053,3554,6735,15637,30718,121077,99425
2012,Missouri,1012530,2229,1887,2335,5448,12171,25184,43246,217818,146365,1431,2276,2091,4940,10606,26261,44354,247160,216728
2012,Montana,176203,355,409,750,1466,816,3158,5673,43639,28212,31,197,238,605,1337,3987,6369,42840,36121
2012,Nebraska,275142,428,625,981,1570,2421,4238,9320,59558,45316,233,671,171,1085,2213,5979,8391,64690,67252
2012,Nevada,389445,452,692,776,2981,3786,5328,11228,101423,59493,673,1597,868,1648,3052,6347,14094,103616,71391
2012,New Hampshire,213376,85,459,566,1723,2342,4443,5550,49514,32176,235,450,750,1500,2747,4185,8180,52795,45676
2012,New Jersey,1333720,3473,4045,2549,8461,9899,20790,38054,280606,207252,2840,5089,3078,6925,11130,23034,41137,335988,329370
2012,New Mexico,339163,518,1588,1359,2092,4452,7873,15005,75230,51238,1135,1057,636,2525,3654,5471,13599,83967,67764
2012,New York,3003220,4358,10554,8303,17549,28535,53450,98187,616940,453885,4868,9048,7688,15860,27065,58755,110011,756177,721987
2012,North Carolina,1562379,1580,3476,3392,8971,16574,37641,66318,345348,206878,1696,2598,2275,6867,16576,41623,77844,404367,318355
