year,state,total,male 4 and under,male 5 to 17,male 18 to 34,male 35 to 64,male 65 to 74,male 75 and older,female 4 and under,female 5 to 17,female 18 to 34,female 35 to 64,female 65 to 74,female 75 and older
2013,Michigan,386717,1867,7914,11829,79723,56878,72462,1921,4998,8780,44032,26002,70311
2013,Minnesota,184737,488,3003,6810,40292,28132,36811,650,1956,3513,19112,10280,33690
2013,Mississippi,122411,152,2637,3485,30226,19339,19554,295,971,2817,15201,9357,18377
2013,Missouri,247618,817,3688,8318,56872,35924,45683,813,3589,6065,27097,17100,41652
2013,Montana,48431,47,485,1815,11336,8886,10163,144,350,703,4956,2213,7333
2013,Nebraska,69750,106,1207,2215,14277,10765,16432,115,1018,1340,6927,4711,10637
2013,Nevada,103221,889,1305,5617,22128,15927,16744,70,1463,1911,14377,7162,15628
2013,New Hampshire,53251,121,831,1589,11245,7211,10731,84,674,677,5940,4510,9638
2013,New Jersey,238825,1706,4275,5428,36299,29915,48795,466,3377,4666,26649,17663,59586
2013,New Mexico,101052,366,1902,2465,20397,14995,17510,933,536,2325,11956,9857,17810
2013,New York,547112,3546,10128,18135,88413,63319,102374,3778,7735,14927,65735,41037,127985
2013,North Carolina,352600,915,6125,10578,67840,55389,62051,1104,4294,7881,46484,25445,64494
2013,North Dakota,26828,38,331,1125,6180,4331,6064,21,23,210,2455,1209,4841
2013,Ohio,423194,1785,5304,14009,86557,58633,77472,1044,6146,8712,50298,30335,82899
2013,Oklahoma,186982,859,3565,6398,41917,31675,33650,709,2457,4381,20852,14296,26223
2013,Oregon,186117,788,2466,6349,39328,31561,36250,1507,1330,3914,21960,10344,30320
2013,Pennsylvania,459836,2239,7588,13953,83483,62614,89614,1448,6360,9814,48561,30118,104044
2013,Rhode Island,36468,48,722,539,5844,4800,7543,223,559,1678,4075,1704,8733
2013,South Carolina,189113,782,2942,4716,41031,30995,30285,1171,2178,3764,21896,15082,34271
2013,South Dakota,36904,20,730,1103,8675,4693,7709,272,463,1330,4027,1325,6557
2013,Tennessee,281402,2016,4151,8664,58310,47336,46071,1565,5282,4650,37160,19130,47067
2013,Texas,874094,7347,18820,31278,184556,128615,149688,5390,14720,23358,110187,60887,139248
2013,Utah,85603,381,1607,3785,18309,13133,15976,392,1109,3411,8434,5839,13227
2013,Vermont,27518,36,378,914,5371,5228,5003,38,351,461,3241,1831,4666
2013,Virginia,250846,1783,4312,8476,48062,37998,45263,1471,3001,6203,30542,15351,48384
2013,Washington,286800,1669,4485,11062,63895,43397,53444,1069,2566,6185,31599,20584,46845
